#name	chrom	strand	txStart	txEnd	exonEnds	exonStarts
NYAP2	chr2	+	226265364	226518734	226265759,226273817,226378388,226447751,226491842,	226273580,226378087,226446657,226491633,226516148,
TRPM8	chr2	+	234826043	234928166	234826077,234835299,234839386,234846153,234847819,234851392,234854674,234855799,234858790,234862663,234863894,234869710,234872021,234873401,234875399,234878451,234879070,234888923,234890559,234891868,234894509,234905160,234915596,234916747,234923298,	234835178,234839313,234845997,234847642,234851220,234854500,234855732,234858593,234862561,234863776,234869420,234871926,234873272,234875254,234878339,234878854,234888832,234890418,234891697,234894332,234904970,234915497,234916714,234923206,234925943,
SNTG2	chr2	+	946554	1371385	946754,1079341,1093938,1094096,1133351,1133495,1161321,1168869,1204916,1241789,1243548,1251215,1263213,1271343,1312358,1320147,	1079204,1093882,1094039,1133308,1133454,1161234,1168778,1204789,1241660,1243510,1251099,1263142,1271137,1312266,1320037,1371115,
MYT1L	chr2	-	1795014	2334888	1795779,1796236,1805571,1812939,1843142,1844615,1855475,1890379,1891381,1893249,1896059,1907066,1914119,1915882,1921111,1927035,1947106,1982999,1983326,1983549,2001119,2057895,2176760,2288275,	1796093,1805468,1812848,1842921,1844532,1855413,1890311,1891260,1893013,1895809,1906852,1914012,1915792,1920977,1926064,1946754,1982937,1983293,1983495,2000963,2057750,2176644,2288176,2334739,
ASAP2	chr2	+	9346894	9545807	9347359,9419518,9437574,9458727,9460466,9463379,9468040,9474942,9475308,9484764,9484929,9491024,9496224,9496474,9499018,9508648,9515073,9517122,9519188,9520937,9525487,9528675,9531325,9533776,9540201,9540959,9541525,	9419446,9437429,9458653,9460417,9463250,9467955,9474867,9475222,9484661,9484860,9490937,9496176,9496308,9498885,9508554,9514884,9517037,9519073,9520870,9525374,9528423,9531191,9533611,9540152,9540871,9541403,9543382,
HPCAL1	chr2	+	10443033	10567735	10443303,10537046,10560261,10563214,	10536961,10559860,10563109,10566850,
VSNL1	chr2	+	17720393	17836795	17720669,17773503,17830892,	17773337,17830677,17836464,
LDAH	chr2	-	20884814	21022874	20886854,20901412,20939965,20974739,20990158,21001225,	20901330,20939731,20974570,20990015,21001070,21022797,
ATAD2B	chr2	-	23971534	24149984	23974957,23977177,23977644,23980971,23985216,23988498,24005898,24009093,24011517,24021193,24033372,24042752,24046439,24051809,24056948,24080373,24086425,24087794,24090816,24092631,24098774,24103625,24107743,24108699,24110855,24111269,24118840,	23977049,23977517,23980288,23985079,23988376,24005739,24008897,24011382,24021008,24033186,24042617,24046128,24051719,24056789,24080285,24086251,24087679,24090705,24092533,24098699,24103509,24107635,24108597,24110702,24111220,24118689,24149425,
TMEM214	chr2	+	27255822	27264563	27256034,27257134,27258153,27258596,27258920,27259460,27259654,27260046,27260570,27261105,27261400,27261683,27262032,27262705,27263066,27263364,	27256935,27258003,27258462,27258838,27259355,27259573,27259945,27260429,27261014,27261352,27261570,27261915,27262609,27262898,27263213,27263579,
BRE	chr2	+	28113617	28561768	28113709,28117551,28152775,28210954,28248287,28268666,28352247,28460168,28464260,28467729,28521358,	28117400,28152699,28210860,28248093,28268592,28352138,28460069,28464190,28467647,28521205,28561317,
CLIP4	chr2	+	29336862	29404789	29337178,29344387,29354263,29355111,29356682,29358532,29366811,29368233,29375694,29379309,29380213,29383333,29386820,29390406,29397311,	29344240,29354124,29355018,29356521,29358414,29366575,29368098,29375551,29379220,29380070,29383199,29386697,29390342,29397239,29404438,
EHD3	chr2	+	31457203	31492313	31457714,31467316,31472334,31483788,31484579,	31467140,31472237,31483376,31484415,31489043,
YIPF4	chr2	+	32502979	32541663	32503303,32515705,32517417,32523380,32526564,	32515552,32517246,32523303,32526451,32530558,
CRIM1	chr2	+	36583069	36778278	36583766,36623930,36668643,36669878,36691798,36704214,36706837,36726490,36737282,36739537,36740908,36744685,36749456,36764689,36771641,36774314,	36623757,36668401,36669758,36691677,36704032,36706640,36726362,36737126,36739416,36740699,36744470,36749235,36764495,36771519,36774127,36775668,
HNRNPLL	chr2	-	38789120	38830108	38791379,38795439,38795585,38796476,38797067,38800569,38804674,38809127,38809310,38811068,38813023,38818790,	38795341,38795528,38796275,38796946,38800352,38804603,38809055,38809214,38810983,38812786,38818672,38829580,
ABCG5	chr2	-	44039611	44065958	44040448,44041728,44047239,44050074,44051257,44051571,44052157,44053660,44055254,44059006,44059222,44065094,	44041616,44047054,44049936,44051052,44051358,44052028,44053521,44055122,44058908,44059086,44064973,44065676,
PRKCE	chr2	+	45878913	46415129	45879587,46070202,46203727,46206149,46207520,46211819,46228685,46231777,46234800,46237656,46313501,46372370,46378368,46386891,	46070139,46203568,46206115,46207435,46211690,46228543,46231681,46234601,46237483,46313347,46372232,46378180,46386745,46411874,
TTC7A	chr2	+	47168313	47303274	47168864,47177665,47184146,47202242,47206046,47220667,47221653,47222338,47233198,47233863,47238574,47249118,47250604,47251498,47256523,47273570,47277185,47279019,47288110,	47177502,47183978,47202112,47205931,47220589,47221496,47222275,47233061,47233780,47238470,47249001,47250547,47251426,47256363,47273454,47277088,47278885,47287908,47300841,
FSHR	chr2	-	49189296	49381676	49191105,49196022,49210125,49210305,49216193,49217776,49244702,49247299,49295429,	49195837,49210051,49210237,49216116,49217705,49244628,49247225,49295358,49381405,
ACYP2	chr2	+	54342641	54532437	54342893,54362606,54365885,	54362590,54365776,54531825,
CCDC88A	chr2	-	55514978	55646992	55518300,55518911,55523192,55523659,55527055,55528413,55529208,55536159,55536390,55539715,55543250,55544485,55544977,55546140,55549828,55555571,55559829,55562300,55563954,55566784,55570928,55571650,55573469,55576735,55582887,55589584,55591169,55599646,55602019,55616022,55646052,	55518812,55522733,55523394,55526975,55528342,55529008,55535945,55536298,55539570,55543064,55544342,55544700,55545979,55549664,55555430,55559702,55561230,55563817,55566600,55570784,55571504,55573311,55576654,55582715,55589444,55591086,55599588,55601950,55615914,55645952,55646153,
GKN1	chr2	+	69201705	69208106	69201821,69204680,69204906,69206113,69207192,	69204627,69204769,69206003,69207045,69207861,
NAGK	chr2	+	71295752	71305695	71295842,71297716,71297969,71298957,71299881,71300724,71302772,71303831,71304766,	71297632,71297871,71298816,71299771,71300612,71302685,71303734,71304688,71305448,
RP11-287D1.3	chr2	-	74438731	74590504	74438954,74441602,74443343,74448628,74450079,74452138,74454257,74454691,74455005,74458435,74459774,74460690,74462341,74466662,74469179,74474434,74475613,74477644,74479515,74480255,74481833,74483059,74486770,74489359,74491426,74492391,74513029,74531807,74542152,74555313,74561304,74566030,74569664,74588283,74588763,74589268,74589856,74590304,	74441529,74443210,74448561,74449995,74451967,74454084,74454644,74454937,74458363,74459596,74460529,74462228,74466462,74469121,74474163,74475480,74477470,74479306,74480101,74481746,74482902,74486715,74489264,74491274,74492231,74512900,74531616,74542072,74555247,74561154,74565982,74569585,74588131,74588540,74589179,74589777,74590121,74590421,
SLC4A5	chr2	-	74443370	74561320	74445919,74448628,74450079,74452122,74454257,74454691,74455005,74458435,74459774,74460690,74462341,74466662,74469179,74474434,74475613,74477644,74479515,74480255,74481833,74483059,74486770,74489359,74491426,74492391,74513029,74531807,74542152,74555313,	74448561,74449995,74451967,74454084,74454644,74454937,74458363,74459596,74460529,74462228,74466462,74469121,74474163,74475480,74477470,74479306,74480101,74481746,74482902,74486715,74489264,74491274,74492231,74512900,74531616,74542072,74555247,74561154,
LRRTM4	chr2	-	76975679	77749399	76976042,77746990,77748944,	77745444,77748794,77749235,
CTNNA2	chr2	+	79412357	80875904	79412557,79425202,79539922,79601139,79732308,79878784,79971708,80085305,80097061,80101468,80136923,80620416,80646726,80772199,80773188,80783018,80801439,80808944,80816610,80831304,80835443,	79425085,79539835,79600957,79732180,79878678,79971513,80085139,80096942,80101202,80136720,80620336,80646574,80772107,80773032,80782818,80801288,80808831,80816429,80831199,80835309,80874710,
DNAH6	chr2	+	84743579	85046713	84743707,84745175,84752862,84756290,84771624,84774526,84774736,84775541,84777181,84780158,84785059,84800711,84804532,84806803,84811374,84816078,84821209,84822913,84831675,84832716,84834219,84838978,84844106,84847028,84848479,84848675,84851514,84851744,84852187,84861765,84864501,84867702,84869178,84880998,84881906,84885598,84886293,84896634,84897599,84899608,84904260,84908652,84912596,84913681,84915717,84921604,84924851,84926858,84928463,84930686,84931426,84932871,84934143,84934840,84936670,84937536,84940383,84942751,84945508,84949928,84955026,84960703,84972373,84990069,85008777,85011934,85012880,85014426,85023549,85024782,85032918,85035666,85039650,85040254,85041246,85043207,	84744943,84752689,84756028,84771357,84774392,84774616,84775412,84777013,84780042,84784859,84800591,84804381,84806651,84811123,84815950,84821096,84822770,84831463,84832624,84834100,84838798,84844010,84846809,84848315,84848562,84851389,84851589,84852026,84861628,84864334,84867554,84869071,84880443,84881784,84885416,84886150,84896413,84897452,84899451,84904129,84908481,84912450,84913608,84915563,84921373,84924699,84926718,84928221,84930519,84931191,84932610,84934020,84934644,84936467,84937411,84940219,84942684,84945328,84949749,84954793,84960568,84972204,84989879,85008617,85011846,85012734,85014288,85023430,85024661,85032789,85035539,85039465,85040182,85041095,85042985,85046429,
ATOH8	chr2	+	85981017	86015189	85982080,85991305,	85991114,86014008,
CD8A	chr2	-	87011734	87035519	87013094,87015683,87016556,87016873,87017804,87018218,87028780,87034905,	87015653,87016446,87016763,87017451,87017900,87028634,87034570,87035242,
RGPD2	chr2	-	88055474	88125471	88056945,88071883,88074602,88083866,88084688,88088358,88091592,88091860,88092887,88093287,88093712,88094759,88095102,88095367,88097693,88100211,88106410,88111149,88111725,88115940,88116496,88118142,	88071688,88074463,88081643,88084594,88088241,88091509,88091681,88092741,88093150,88093554,88094636,88094927,88095186,88097484,88100124,88106215,88111004,88111495,88115788,88116385,88118078,88125177,
ANKRD39	chr2	-	97513722	97523832	97514181,97519341,97520178,	97519138,97520075,97523625,
TMEM131	chr2	-	98372803	98612354	98373846,98375516,98376212,98377152,98377377,98378663,98382726,98383065,98388887,98392481,98409447,98410016,98411578,98412867,98413449,98413979,98418424,98419000,98419253,98421668,98421914,98422166,98426237,98427695,98429018,98429212,98430604,98430851,98431770,98435184,98449889,98451140,98451388,98453620,98458400,98460724,98475890,98504583,98525161,98543950,	98375356,98376115,98377056,98377256,98378498,98382577,98382941,98388760,98392306,98408849,98409858,98411393,98412681,98413307,98413828,98418358,98418891,98419115,98421551,98421839,98422014,98426151,98427591,98428884,98429102,98430434,98430698,98431662,98435076,98449828,98451084,98451238,98453540,98458278,98460608,98475767,98504515,98525121,98543889,98611939,
TSGA10	chr2	-	99613724	99771380	99614684,99634812,99635103,99636945,99651902,99681587,99685461,99688337,99689536,99695276,99697860,99720581,99721899,99722160,99725454,99725975,99727378,99734222,99735149,99743639,	99634663,99634999,99636743,99651693,99681402,99685351,99688169,99689481,99695122,99697745,99720430,99721822,99721990,99725296,99725852,99727313,99734007,99735014,99743511,99771156,
TBC1D8	chr2	-	101624079	101767715	101624735,101627488,101628002,101638208,101638983,101643913,101644608,101644894,101646238,101648847,101650220,101652630,101654170,101655117,101656847,101667103,101670798,101676001,101706826,	101627391,101627913,101638143,101638743,101643845,101644510,101644765,101645953,101648730,101650006,101652480,101653994,101654923,101656640,101666863,101670570,101675883,101706716,101767589,
IL1R1	chr2	+	102759246	102796334	102759480,102770477,102774245,102781468,102781764,102782741,102785123,102788378,102789298,102791190,102792105,	102770401,102774179,102781234,102781575,102782573,102785058,102788261,102789147,102791047,102791938,102792813,
TGFBRAP1	chr2	-	105880848	105924778	105884016,105886162,105889471,105890147,105892160,105894128,105897180,105900855,105912967,105915162,	105885729,105889312,105890001,105892017,105894071,105896839,105900773,105912813,105914968,105924071,
SH3RF3	chr2	+	109745804	110262209	109746569,109964405,109988137,110015399,110036098,110049127,110053602,110065945,110107392,	109964130,109988042,110015046,110035995,110048957,110053349,110065626,110107061,110259080,
TTL	chr2	+	113239731	113299316	113240078,113243572,113251952,113258918,113260758,113278002,	113243494,113251720,113258783,113260489,113277859,113286258,
DPP10	chr2	+	115919684	116600476	115919849,116066929,116101488,116257180,116283548,116447315,116447497,116485512,116497469,116503759,116510873,116520186,116525980,116534875,116535410,116538571,116539975,116548755,116548932,116572563,116573305,116593832,116594141,116594322,116598399,	116066815,116101393,116257086,116283474,116447263,116447416,116485392,116497315,116503662,116510750,116520148,116525873,116534784,116535363,116538450,116539928,116548657,116548863,116572369,116573251,116593733,116594083,116594250,116598326,116599787,
PTPN4	chr2	+	120517207	120741394	120517960,120567567,120620219,120634941,120635118,120639406,120639725,120640199,120643458,120658382,120672818,120677817,120684242,120690125,120692534,120702816,120704000,120704150,120709705,120712899,120714510,120714653,120718529,120720320,120723221,120725548,	120567413,120620112,120634899,120635040,120639362,120639673,120640079,120643371,120658294,120672755,120677645,120684174,120690000,120692376,120702657,120703917,120704094,120709549,120712733,120714420,120714592,120718383,120720192,120723073,120725413,120734560,
GLI2	chr2	+	121549985	121750229	121550014,121555044,121685042,121709021,121713006,121726491,121728182,121729639,121732685,121736159,121740456,121742319,121744190,	121554867,121684937,121708819,121712821,121726290,121727969,121729517,121732500,121736010,121740292,121742047,121743854,121745784,
TMEM163	chr2	-	135213330	135476570	135214347,135215744,135223796,135260568,135308232,135309662,135470889,	135215603,135223685,135260472,135308141,135309619,135470770,135476304,
R3HDM1	chr2	+	136289083	136482840	136289203,136360278,136362586,136373763,136374327,136379178,136380302,136389347,136389571,136393568,136393753,136396225,136396359,136396692,136399360,136403097,136409602,136418963,136433056,136437894,136467106,136467801,136473264,136479576,136480123,	136360070,136362376,136373722,136374238,136379064,136380224,136389288,136389431,136393460,136393658,136396188,136396309,136396466,136399106,136402949,136409303,136418840,136432902,136437743,136467003,136467629,136473120,136479494,136480039,136481507,
THSD7B	chr2	+	137523115	138435287	137523257,137639887,137814800,137852691,137872863,137917938,137928508,137988805,137990703,138000142,138030232,138033596,138163377,138169442,138208593,138320924,138330126,138373886,138376077,138378296,138400203,138413230,138414539,138414730,138417316,138421145,138425431,	137639714,137813990,137852443,137872694,137917783,137928311,137988614,137990469,138000027,138030103,138033493,138163183,138169179,138208415,138320791,138329976,138373745,138375962,138378179,138400058,138413071,138414366,138414635,138417234,138420953,138425344,138434094,
NXPH2	chr2	-	139428342	139537918	139429235,	139537761,
KYNU	chr2	+	143635067	143813401	143635305,143643105,143676298,143685310,143712440,143713843,143715284,143718339,143742751,143743590,143787248,143790890,143798227,	143642918,143676178,143685228,143712379,143713772,143715210,143718193,143742653,143743517,143787196,143790805,143797997,143799616,
GTDC1	chr2	-	144695635	144993307	144704702,144709640,144710410,144714906,144728329,144765102,144899622,144903306,144966371,144969146,	144709549,144710340,144714762,144728220,144764749,144899449,144903139,144966170,144969082,144993243,
MBD5	chr2	+	148778580	149274540	148778615,148779253,148936362,148990964,149099905,149216440,149220253,149221488,149228030,149241005,149243519,149248163,149260078,149267704,	148779217,148936269,148990814,149099783,149215772,149220151,149221308,149225910,149240679,149243311,149246955,149260005,149267629,149270439,
LYPD6B	chr2	+	149894981	150071776	149895315,149987467,150017349,150061918,150064926,150069636,	149987397,150017278,150061767,150064828,150069506,150071060,
GALNT13	chr2	+	154728426	155310361	154728816,154757520,154801152,154997018,155098709,155099418,155102495,155115651,155158102,155252642,155265594,155295238,	154757449,154800907,154996850,155098543,155099211,155102325,155115534,155157922,155252503,155265496,155295104,155306923,
BAZ2B	chr2	-	160175490	160473203	160176929,160181465,160182429,160189197,160193588,160194283,160204157,160205344,160205791,160206868,160229700,160231264,160239313,160240191,160241880,160243118,160245996,160252345,160253900,160255405,160257175,160261421,160261625,160269056,160284553,160284930,160285771,160287667,160289874,160295206,160295723,160303486,160304920,160310312,160335232,160412376,	160181322,160182164,160189051,160193453,160194078,160203997,160205189,160205518,160206219,160229556,160231202,160239070,160240117,160241666,160242864,160245856,160252280,160253856,160255340,160257110,160261360,160261533,160268846,160284452,160284822,160285711,160287374,160289268,160294814,160295520,160303293,160304753,160310124,160335086,160412334,160472753,
SLC4A10	chr2	+	162480848	162841792	162481076,162627564,162661105,162696437,162711640,162719572,162728894,162735798,162738954,162751335,162757521,162760688,162761419,162762397,162799407,162804237,162805771,162807358,162813750,162815065,162820818,162821683,162830826,162833386,162834270,	162627483,162660959,162696299,162711480,162719384,162728803,162735641,162738867,162751189,162757421,162760514,162761286,162762152,162799302,162804076,162805658,162807197,162813499,162814997,162820645,162821561,162830759,162833270,162834232,162839689,
KCNH7	chr2	-	163227917	163695128	163228605,163230172,163236531,163241449,163250995,163253455,163256951,163280045,163292107,163302953,163361167,163369184,163374668,163393590,163693277,	163229980,163236363,163241198,163250899,163253250,163256699,163279846,163291708,163302528,163360953,163369164,163374240,163393435,163693047,163694953,
COBLL1	chr2	-	165541275	165697922	165542542,165548907,165552343,165556009,165557266,165559730,165561028,165561615,165578821,165579032,165584707,165586625,165600385,	165548731,165550779,165555915,165557032,165559614,165560954,165561462,165578585,165578935,165584479,165586424,165600197,165697666,
STK39	chr2	-	168810530	169104651	168812080,168821236,168869212,168873605,168920080,168921891,168931521,168931741,168986116,168986268,168994731,168996900,168997268,169018352,169020390,169023917,169038600,	168821172,168869144,168873553,168920010,168921829,168931492,168931619,168986051,168986220,168994598,168996799,168997159,169018297,169020249,169023809,169038488,169103738,
ABCB11	chr2	-	169779448	169887832	169780332,169781313,169783872,169787372,169789043,169791935,169792943,169801276,169801471,169814638,169820818,169825000,169826061,169826725,169828560,169830350,169833197,169836489,169842794,169847435,169850392,169851992,169853232,169870020,169870864,169873309,169874662,	169781167,169783666,169787175,169788887,169791694,169792740,169801115,169801367,169814474,169820716,169824937,169825860,169826555,169828357,169830225,169833087,169836376,169842620,169847311,169850221,169851859,169853145,169869782,169870813,169873288,169874560,169887735,
UBR3	chr2	+	170683968	170940641	170684562,170728885,170732459,170734147,170735084,170747741,170751821,170753245,170761803,170762674,170770656,170780504,170780683,170782257,170783254,170783481,170783917,170785378,170789518,170799144,170802902,170804225,170806575,170815036,170843304,170850966,170857924,170863700,170865450,170871876,170885958,170897495,170912094,170917696,170917953,170930117,170936533,170937194,	170728746,170732301,170734004,170735035,170747675,170751691,170753017,170761624,170762541,170770570,170780439,170780594,170782129,170783202,170783348,170783830,170785239,170789422,170799003,170802798,170804052,170806115,170814948,170843155,170850833,170857814,170863500,170865314,170871791,170885856,170897392,170911970,170917589,170917828,170929938,170936324,170937055,170938236,
TLK1	chr2	-	171847333	172017343	171850466,171853270,171854333,171862792,171863153,171863399,171863573,171867964,171871458,171884915,171902872,171906460,171906684,171910363,171911682,171913076,171914707,171917666,171939362,171974367,	171853163,171854222,171862657,171862984,171863310,171863482,171867883,171871361,171884849,171902684,171906324,171906574,171910271,171911593,171912981,171914661,171917591,171939291,171974249,172016800,
AC013461.1	chr2	+	173940442	174131511	173940543,173955918,174034620,174047683,174052351,174055651,174055905,174062840,174068598,174074563,174081978,174094461,174096950,174097187,174103163,174104224,174123543,174125865,174128623,	173955726,174034533,174047582,174052286,174055623,174055768,174062754,174068524,174074457,174081843,174094417,174096920,174097048,174103101,174104132,174123427,174125791,174128473,174130778,
OLA1	chr2	-	174937175	175113426	174940255,174943818,174945976,174946792,174988005,174988403,175006728,175087888,175094179,175111543,	174943696,174945880,174946652,174987908,174988323,175006553,175087761,175094036,175111443,175113180,
AGPS	chr2	+	178257372	178408564	178257777,178285086,178299145,178301612,178301782,178305764,178307214,178310354,178326746,178333252,178346914,178357927,178362493,178364458,178370303,178372759,178378636,178386096,178388533,	178284997,178299055,178301492,178301708,178305693,178307135,178310274,178326621,178333144,178346787,178357876,178362417,178364346,178370234,178372698,178378547,178385997,178388476,178402802,
PRKRA	chr2	-	179296141	179315958	179296981,179301046,179306431,179308111,179309227,179312313,179315138,	179300872,179306337,179307994,179309149,179312232,179314969,179315693,
ZNF385B	chr2	-	180306709	180726232	180308195,180309704,180310455,180311497,180348161,180383365,180409696,180634529,180635399,	180309603,180310277,180311252,180347999,180383255,180409554,180634230,180635248,180725828,
CERKL	chr2	-	182402911	182521733	182402971,182403991,182409523,182412453,182412574,182413331,182413584,182414435,182423435,182430237,182430848,182438611,182468806,	182403819,182409427,182412345,182412549,182413272,182413407,182414361,182423293,182430160,182430785,182438480,182468564,182521496,
ZNF804A	chr2	+	185463093	185804219	185463797,185731239,185798460,	185731096,185798330,185800510,
FSIP2	chr2	+	186603355	186698016	186603720,186604198,186608021,186609138,186610295,186611537,186612150,186618569,186621005,186625830,186626744,186628016,186629292,186647489,186651015,186662253,186673860,186678769,186680198,186689207,186692926,186696609,	186604073,186607860,186609049,186610156,186611396,186612040,186618449,186620919,186625715,186626699,186627910,186629229,186647432,186650979,186653370,186664424,186678272,186680098,186689161,186692883,186696540,186697817,
ZSWIM2	chr2	-	187692562	187713897	187693517,187694607,187697959,187698757,187702281,187703896,187709484,187712522,	187694454,187697847,187698673,187702033,187703686,187709444,187712446,187713693,
HECW2	chr2	-	197059094	197457335	197066112,197080701,197081817,197084877,197085665,197087064,197090594,197092978,197105286,197106928,197118753,197122630,197136013,197138847,197143386,197157474,197171336,197171957,197172809,197182093,197184628,197185163,197187344,197189873,197194374,197199242,197208488,197298182,	197080589,197081732,197084763,197085519,197086935,197090496,197092826,197105173,197106808,197118644,197122547,197135917,197138745,197143252,197157289,197171212,197171854,197172659,197181998,197183276,197185063,197187202,197189704,197194299,197199148,197208381,197297856,197457188,
SATB2	chr2	-	200134223	200322819	200137395,200173680,200188681,200193633,200213896,200233430,200245210,200246543,200298237,200320819,	200173483,200188526,200193421,200213424,200233328,200245087,200246417,200298061,200320592,200322062,
ALS2CR11	chr2	-	202352148	202483898	202352625,202360692,202401043,202402202,202410344,202412333,202430595,202436743,202439000,202440049,202446940,202466607,202467998,202469420,	202360618,202400744,202402159,202410266,202412228,202430452,202436664,202438932,202440005,202446818,202466462,202467947,202469334,202483623,
BMPR2	chr2	+	203241659	203432474	203242273,203329702,203332412,203378552,203379702,203383775,203384924,203395677,203397455,203407170,203417611,203421254,	203329532,203332242,203378442,203379611,203383545,203384810,203395517,203397308,203407034,203417439,203419975,203424419,
PARD3B	chr2	+	205410516	206484886	205410842,205551005,205830046,205912413,205969238,205978301,205983770,205986673,205989190,205990461,206023631,206037105,206041301,206050587,206058044,206110546,206165460,206166425,206265847,206305396,206364755,206418127,	205550904,205829875,205912304,205969150,205978215,205983645,205986315,205989051,205990333,206023446,206036935,206041169,206050488,206057929,206110502,206165254,206166188,206265737,206305094,206364620,206418048,206480180,
NRP2	chr2	+	206548015	206644438	206548087,206562445,206581098,206587432,206588664,206590806,206592770,206605387,206608276,206610614,206614565,206617699,206628660,206630294,206631542,	206562268,206580917,206587202,206588509,206590637,206592615,206605243,206607927,206610470,206614449,206617559,206628398,206630198,206631507,206640970,
MDH1B	chr2	-	207602487	207630271	207603235,207604385,207605828,207610397,207611150,207613907,207615799,207620229,207621764,207622095,207625737,	207604317,207605778,207610346,207611011,207613744,207615658,207619733,207621622,207621961,207625625,207629974,
